[config] train=5253 val=540 batch=20 visible_gpus=2 data_parallel=True init_checkpoint=/home/hy/twostagenet/checkpoints_direct_unetpp_13168/best_val.pth resume=
epoch 1/80 | train_loss=0.751799 | train_loss_dolp=0.002845 | train_loss_vector=0.219420 | train_loss_aolp=0.875821 | train_loss_lowfreq=0.318198 | train_loss_edge=0.559672 | train_mean_aolp_reliability=0.265525 | val_loss=1.122231 | val_loss_dolp=0.001879 | val_loss_vector=0.360913 | val_loss_aolp=1.307684 | val_loss_lowfreq=0.382204 | val_loss_edge=0.583131 | val_mean_aolp_reliability=0.272024
[best_val] epoch=1 loss=1.122231
epoch 2/80 | train_loss=0.662213 | train_loss_dolp=0.001854 | train_loss_vector=0.188331 | train_loss_aolp=0.779535 | train_loss_lowfreq=0.271465 | train_loss_edge=0.559341 | train_mean_aolp_reliability=0.265525 | val_loss=1.103728 | val_loss_dolp=0.001475 | val_loss_vector=0.354109 | val_loss_aolp=1.286775 | val_loss_lowfreq=0.378010 | val_loss_edge=0.583082 | val_mean_aolp_reliability=0.272024
[best_val] epoch=2 loss=1.103728
epoch 3/80 | train_loss=0.641995 | train_loss_dolp=0.001617 | train_loss_vector=0.181212 | train_loss_aolp=0.757426 | train_loss_lowfreq=0.262443 | train_loss_edge=0.559285 | train_mean_aolp_reliability=0.265525 | val_loss=1.116516 | val_loss_dolp=0.001412 | val_loss_vector=0.359309 | val_loss_aolp=1.303956 | val_loss_lowfreq=0.373108 | val_loss_edge=0.583908 | val_mean_aolp_reliability=0.272024
epoch 4/80 | train_loss=0.628770 | train_loss_dolp=0.001466 | train_loss_vector=0.176503 | train_loss_aolp=0.742775 | train_loss_lowfreq=0.257219 | train_loss_edge=0.559392 | train_mean_aolp_reliability=0.265525 | val_loss=1.094191 | val_loss_dolp=0.001349 | val_loss_vector=0.350798 | val_loss_aolp=1.280430 | val_loss_lowfreq=0.363053 | val_loss_edge=0.584353 | val_mean_aolp_reliability=0.272024
[best_val] epoch=4 loss=1.094191
epoch 5/80 | train_loss=0.619116 | train_loss_dolp=0.001415 | train_loss_vector=0.173028 | train_loss_aolp=0.732070 | train_loss_lowfreq=0.253243 | train_loss_edge=0.559787 | train_mean_aolp_reliability=0.265525 | val_loss=1.092287 | val_loss_dolp=0.001333 | val_loss_vector=0.350338 | val_loss_aolp=1.278463 | val_loss_lowfreq=0.360586 | val_loss_edge=0.585336 | val_mean_aolp_reliability=0.272024
[best_val] epoch=5 loss=1.092287
epoch 6/80 | train_loss=0.610857 | train_loss_dolp=0.001349 | train_loss_vector=0.170064 | train_loss_aolp=0.722812 | train_loss_lowfreq=0.250156 | train_loss_edge=0.560138 | train_mean_aolp_reliability=0.265525 | val_loss=1.028489 | val_loss_dolp=0.001244 | val_loss_vector=0.326388 | val_loss_aolp=1.212693 | val_loss_lowfreq=0.326220 | val_loss_edge=0.585322 | val_mean_aolp_reliability=0.272024
[best_val] epoch=6 loss=1.028489
epoch 7/80 | train_loss=0.605037 | train_loss_dolp=0.001303 | train_loss_vector=0.167963 | train_loss_aolp=0.716453 | train_loss_lowfreq=0.247609 | train_loss_edge=0.560456 | train_mean_aolp_reliability=0.265525 | val_loss=1.130429 | val_loss_dolp=0.001245 | val_loss_vector=0.365462 | val_loss_aolp=1.324186 | val_loss_lowfreq=0.361049 | val_loss_edge=0.588384 | val_mean_aolp_reliability=0.272024
epoch 8/80 | train_loss=0.600584 | train_loss_dolp=0.001244 | train_loss_vector=0.166401 | train_loss_aolp=0.711685 | train_loss_lowfreq=0.245317 | train_loss_edge=0.560660 | train_mean_aolp_reliability=0.265525 | val_loss=1.071066 | val_loss_dolp=0.001266 | val_loss_vector=0.342308 | val_loss_aolp=1.255341 | val_loss_lowfreq=0.352346 | val_loss_edge=0.587060 | val_mean_aolp_reliability=0.272024
epoch 9/80 | train_loss=0.595318 | train_loss_dolp=0.001193 | train_loss_vector=0.164532 | train_loss_aolp=0.705762 | train_loss_lowfreq=0.243368 | train_loss_edge=0.560777 | train_mean_aolp_reliability=0.265525 | val_loss=1.122809 | val_loss_dolp=0.001254 | val_loss_vector=0.362940 | val_loss_aolp=1.317547 | val_loss_lowfreq=0.351806 | val_loss_edge=0.589606 | val_mean_aolp_reliability=0.272024
epoch 10/80 | train_loss=0.593494 | train_loss_dolp=0.001171 | train_loss_vector=0.163887 | train_loss_aolp=0.703890 | train_loss_lowfreq=0.242242 | train_loss_edge=0.560857 | train_mean_aolp_reliability=0.265525 | val_loss=1.057755 | val_loss_dolp=0.001168 | val_loss_vector=0.337414 | val_loss_aolp=1.243531 | val_loss_lowfreq=0.340292 | val_loss_edge=0.586975 | val_mean_aolp_reliability=0.272024
epoch 11/80 | train_loss=0.591445 | train_loss_dolp=0.001136 | train_loss_vector=0.163179 | train_loss_aolp=0.701716 | train_loss_lowfreq=0.241135 | train_loss_edge=0.560905 | train_mean_aolp_reliability=0.265525 | val_loss=1.119207 | val_loss_dolp=0.001173 | val_loss_vector=0.361805 | val_loss_aolp=1.314829 | val_loss_lowfreq=0.346078 | val_loss_edge=0.591988 | val_mean_aolp_reliability=0.272024
epoch 12/80 | train_loss=0.587688 | train_loss_dolp=0.001102 | train_loss_vector=0.161839 | train_loss_aolp=0.697488 | train_loss_lowfreq=0.239790 | train_loss_edge=0.560918 | train_mean_aolp_reliability=0.265525 | val_loss=1.020384 | val_loss_dolp=0.001203 | val_loss_vector=0.322706 | val_loss_aolp=1.198862 | val_loss_lowfreq=0.338465 | val_loss_edge=0.587028 | val_mean_aolp_reliability=0.272024
[best_val] epoch=12 loss=1.020384
epoch 13/80 | train_loss=0.586521 | train_loss_dolp=0.001080 | train_loss_vector=0.161445 | train_loss_aolp=0.696312 | train_loss_lowfreq=0.238958 | train_loss_edge=0.560966 | train_mean_aolp_reliability=0.265525 | val_loss=1.026915 | val_loss_dolp=0.001197 | val_loss_vector=0.325676 | val_loss_aolp=1.208777 | val_loss_lowfreq=0.331306 | val_loss_edge=0.587832 | val_mean_aolp_reliability=0.272024
epoch 14/80 | train_loss=0.584651 | train_loss_dolp=0.001057 | train_loss_vector=0.160782 | train_loss_aolp=0.694188 | train_loss_lowfreq=0.238344 | train_loss_edge=0.560982 | train_mean_aolp_reliability=0.265525 | val_loss=1.037734 | val_loss_dolp=0.001210 | val_loss_vector=0.329909 | val_loss_aolp=1.219696 | val_loss_lowfreq=0.336817 | val_loss_edge=0.588067 | val_mean_aolp_reliability=0.272024
epoch 15/80 | train_loss=0.583253 | train_loss_dolp=0.001039 | train_loss_vector=0.160298 | train_loss_aolp=0.692717 | train_loss_lowfreq=0.237546 | train_loss_edge=0.560968 | train_mean_aolp_reliability=0.265525 | val_loss=1.130380 | val_loss_dolp=0.001201 | val_loss_vector=0.365923 | val_loss_aolp=1.326040 | val_loss_lowfreq=0.353282 | val_loss_edge=0.591598 | val_mean_aolp_reliability=0.272024
epoch 16/80 | train_loss=0.581264 | train_loss_dolp=0.001024 | train_loss_vector=0.159591 | train_loss_aolp=0.690492 | train_loss_lowfreq=0.236777 | train_loss_edge=0.560948 | train_mean_aolp_reliability=0.265525 | val_loss=1.026185 | val_loss_dolp=0.001154 | val_loss_vector=0.325442 | val_loss_aolp=1.206190 | val_loss_lowfreq=0.335411 | val_loss_edge=0.588232 | val_mean_aolp_reliability=0.272024
